Away,Year,Date,MonthNo,DayNum,Time,Home,Week,Game,Weekday,AwayWL,HomeWL,AwayPts,HomePts,AwayMargin,HomeMargin,OT,Spread,vs. Line,Over/Under,OU Result
BUF,2015,2015-11-23,11,23,8:30,NWE,11,10,Mon,L,W,13,20,-7,7,,7,push,48,under
CAR,2015,2015-10-18,10,18,4:06,SEA,6,5,Sun,W,L,27,23,4,-4,,7,covered,40.5,over
CLE,2015,2015-10-04,10,4,4:05,SDG,4,4,Sun,L,W,27,30,-3,3,,7,covered,44.5,over
MIN,2015,2015-10-04,10,4,4:25,DEN,4,4,Sun,L,W,20,23,-3,3,,7,covered,42.5,over
NYG,2015,2015-12-27,12,27,8:30,MIN,16,15,Sun,L,W,17,49,-32,32,,7,not covered,44.5,over
NYJ,2015,2015-09-21,9,21,8:30,IND,2,2,Mon,W,L,20,7,13,-13,,7,covered,46.5,under
TEN,2015,2015-12-13,12,13,1:02,NYJ,14,13,Sun,L,W,8,30,-22,22,,7,not covered,43,under
PIT,2015,2015-09-10,9,10,8:40,NWE,1,1,Thu,L,W,21,28,-7,7,,7,push,52,under
OAK,2015,2016-01-03,1,3,4:26,KAN,17,16,Sun,L,W,17,23,-6,6,,7,covered,43,under
STL,2015,2015-10-04,10,4,4:25,ARI,4,4,Sun,W,L,24,22,2,-2,,7,covered,44,over
TAM,2015,2015-11-01,11,1,1:02,ATL,8,7,Sun,W,L,23,20,3,-3,OT,7,covered,48.5,under
WAS,2015,2015-10-11,10,11,1:02,ATL,5,5,Sun,L,W,19,25,-6,6,OT,7,covered,48,under
WAS,2015,2015-10-18,10,18,1:02,NYJ,6,6,Sun,L,W,20,34,-14,14,,7,not covered,40.5,over
WAS,2015,2015-11-22,11,22,1:02,CAR,11,10,Sun,L,W,16,44,-28,28,,7,not covered,44.5,over
CHI,2015,2015-11-15,11,15,1:00,STL,10,9,Sun,W,L,37,13,24,-24,,6.5,covered,42.5,over
CLE,2015,2015-10-25,10,25,1:00,STL,7,7,Sun,L,W,6,24,-18,18,,6.5,not covered,41.5,under
IND,2015,2015-11-02,11,2,8:30,CAR,8,8,Mon,L,W,26,29,-3,3,OT,6.5,covered,46.5,over
DAL,2015,2015-12-13,12,13,4:25,GNB,14,13,Sun,L,W,7,28,-21,21,,6.5,not covered,42.5,under
DAL,2015,2015-12-27,12,27,1:02,BUF,16,15,Sun,L,W,6,16,-10,10,,6.5,not covered,42,under
JAX,2015,2016-01-03,1,3,1:02,HOU,17,16,Sun,L,W,6,30,-24,24,,6.5,not covered,45.5,under
OAK,2015,2015-12-13,12,13,4:05,DEN,14,13,Sun,W,L,15,12,3,-3,,6.5,covered,43.5,under
SEA,2015,2016-01-03,1,3,4:25,ARI,17,16,Sun,W,L,36,6,30,-30,,6.5,covered,47,under
SFO,2015,2015-09-20,9,20,1:02,PIT,2,2,Sun,L,W,18,43,-25,25,,6.5,not covered,45.5,over
SFO,2015,2015-09-27,9,27,4:05,ARI,3,3,Sun,L,W,7,47,-40,40,,6.5,not covered,45,over
SFO,2015,2015-10-11,10,11,8:31,NYG,5,5,Sun,L,W,27,30,-3,3,,6.5,covered,43,over
SFO,2015,2015-12-06,12,6,1:02,CHI,13,12,Sun,W,L,26,20,6,-6,OT,6.5,covered,43.5,over
TAM,2015,2015-09-27,9,27,1:03,HOU,3,3,Sun,L,W,9,19,-10,10,,6.5,not covered,40.5,under
CLE,2015,2015-10-11,10,11,1:02,BAL,5,5,Sun,W,L,33,30,3,-3,OT,6,covered,42.5,over
CLE,2015,2015-11-15,11,15,1:04,PIT,10,10,Sun,L,W,9,30,-21,21,,6,not covered,41.5,under
DEN,2015,2015-12-20,12,20,4:25,PIT,15,14,Sun,L,W,27,34,-7,7,,6,not covered,45,over
HOU,2015,2015-10-04,10,4,1:02,ATL,4,4,Sun,L,W,21,48,-27,27,,6,not covered,47,over
KAN,2015,2015-09-28,9,28,8:30,GNB,3,3,Mon,L,W,28,38,-10,10,,6,not covered,49,over
MIA,2015,2015-11-15,11,15,1:05,PHI,10,9,Sun,W,L,20,19,1,-1,,6,covered,49.5,under
NOR,2015,2015-10-11,10,11,1:04,PHI,5,5,Sun,L,W,17,39,-22,22,,6,not covered,49.5,over
NYG,2015,2015-09-13,9,13,8:31,DAL,1,1,Sun,L,W,26,27,-1,1,,6,covered,51.5,over
SDG,2015,2015-12-24,12,24,8:26,OAK,16,15,Thu,L,W,20,23,-3,3,OT,6,covered,46.5,under
TAM,2015,2015-11-22,11,22,1:02,PHI,11,10,Sun,W,L,45,17,28,-28,,6,covered,44.5,over
BUF,2015,2015-11-29,11,29,1:03,KAN,12,11,Sun,L,W,22,30,-8,8,,5.5,not covered,41.5,over
CHI,2015,2015-12-20,12,20,1:02,MIN,15,14,Sun,L,W,17,38,-21,21,,5.5,not covered,43,over
NOR,2015,2016-01-03,1,3,1:02,ATL,17,16,Sun,W,L,20,17,3,-3,,5.5,covered,52.5,under
NYG,2015,2015-10-04,10,4,1:02,BUF,4,4,Sun,W,L,24,10,14,-14,,5.5,covered,45.5,under
DAL,2015,2015-09-20,9,20,4:25,PHI,2,2,Sun,W,L,20,10,10,-10,,5,covered,55,under
JAX,2015,2015-11-15,11,15,1:05,BAL,10,9,Sun,W,L,22,20,2,-2,,5,covered,47.5,under
NYJ,2016,2016-12-24,12,24,1:00,NWE,16,15,Sat,L,W,3,41,-38,38,,17,not covered,45,under
LAR,2016,2016-12-15,12,15,8:25,SEA,15,14,Thu,L,W,3,24,-21,21,,15,not covered,39.5,under
SFO,2016,2016-11-13,11,13,4:25,ARI,10,9,Sun,L,W,20,23,-3,3,,13.5,covered,46.5,under
SFO,2016,2016-12-18,12,18,4:05,ATL,15,14,Sun,L,W,13,41,-28,28,,13.5,not covered,51.5,over
LAR,2016,2016-12-04,12,4,1:00,NWE,13,12,Sun,L,W,10,26,-16,16,,13,not covered,44.5,under
SFO,2016,2016-09-18,9,18,1:03,CAR,2,2,Sun,L,W,27,46,-19,19,,12,not covered,44.5,over
CLE,2016,2016-10-23,10,23,1:02,CIN,7,7,Sun,L,W,17,31,-14,14,,11,not covered,46.5,over
CLE,2016,2016-12-18,12,18,1:00,BUF,15,14,Sun,L,W,13,33,-20,20,,10.5,not covered,43,over
MIA,2016,2016-09-11,9,11,4:08,SEA,1,1,Sun,L,W,10,12,-2,2,,10.5,covered,43.5,under
SFO,2016,2016-09-25,9,25,4:05,SEA,3,3,Sun,L,W,18,37,-19,19,,10.5,not covered,42,over
CLE,2016,2016-09-25,9,25,1:02,MIA,3,3,Sun,L,W,24,30,-6,6,OT,10,covered,42,over
