Team1,symbol,Team2,Year,Date,MonthNo,DayNum,Time,Week,Game,Weekday,Team1WL,Team1Pts,Team2Pts,Margin,OT,Spread,vsLine,OU,OU Result
KAN,@,SDG,2013,2013-12-29,12,29,4:26,17,16,Sun,L,24,27,-3,OT,14.5,covered,45,over
TAM,@,SEA,2013,2013-11-03,11,3,4:05,9,8,Sun,L,24,27,-3,OT,14.5,covered,40,over
TEN,@,DEN,2013,2013-12-08,12,8,4:05,14,13,Sun,L,28,51,-23,,13.5,not covered,49.5,over
MIN,@,SEA,2013,2013-11-17,11,17,4:26,11,10,Sun,L,20,41,-21,,13,not covered,45,over
STL,@,SEA,2013,2013-12-29,12,29,4:26,17,16,Sun,L,9,27,-18,,12.5,not covered,41,under
JAX,@,TEN,2013,2013-11-10,11,10,1:02,10,9,Sun,W,29,27,2,,11.5,covered,42,over
JAX,@,IND,2013,2013-12-29,12,29,1:02,17,16,Sun,L,10,30,-20,,11.5,not covered,45,under
NYJ,@,NWE,2013,2013-09-12,9,12,8:29,2,2,Thu,L,10,13,-3,,11.5,covered,43,under
TEN,@,SEA,2013,2013-10-13,10,13,4:06,6,6,Sun,L,13,20,-7,,11.5,covered,42,under
PHI,@,DEN,2013,2013-09-29,9,29,4:25,4,4,Sun,L,20,52,-32,,11.5,not covered,57.5,over
OAK,@,IND,2013,2013-09-08,9,8,1:02,1,1,Sun,L,17,21,-4,,11.5,covered,45,under
JAX,@,STL,2013,2013-10-06,10,6,1:00,5,5,Sun,L,20,34,-14,,11,not covered,40.5,over
WAS,@,DEN,2013,2013-10-27,10,27,4:25,8,7,Sun,L,21,45,-24,,11,not covered,58.5,over
BUF,@,NOR,2013,2013-10-27,10,27,1:02,8,8,Sun,L,17,35,-18,,10.5,not covered,48.5,over
ARI,@,SFO,2013,2013-10-13,10,13,4:25,6,6,Sun,L,20,32,-12,,10.5,not covered,40.5,over
NYJ,@,ATL,2013,2013-10-07,10,7,8:40,5,5,Mon,W,30,28,2,,10.5,covered,45,over
OAK,@,HOU,2013,2013-11-17,11,17,1:03,11,10,Sun,W,28,23,5,,10.5,covered,41,over
TAM,@,NOR,2013,2013-12-29,12,29,4:25,17,16,Sun,L,17,42,-25,,10.5,not covered,47,over
IND,@,SFO,2013,2013-09-22,9,22,4:25,3,3,Sun,W,27,7,20,,10,covered,45.5,under
NYJ,@,CAR,2013,2013-12-15,12,15,4:05,15,14,Sun,L,20,30,-10,,10,push,41,over
CHI,@,GNB,2013,2013-11-04,11,4,8:40,9,8,Mon,W,27,20,7,,9.5,covered,50.5,under
CLE,@,GNB,2013,2013-10-20,10,20,4:25,7,7,Sun,L,13,31,-18,,9.5,not covered,45,under
CLE,@,NWE,2013,2013-12-08,12,8,1:02,14,13,Sun,L,26,27,-1,,9.5,covered,47.5,over
CLE,@,PIT,2013,2013-12-29,12,29,1:02,17,16,Sun,L,7,20,-13,,9.5,not covered,44.5,under
DET,@,GNB,2013,2013-10-06,10,6,1:02,5,5,Sun,L,9,22,-13,,9.5,not covered,53,under
SDG,@,DEN,2013,2013-12-12,12,12,8:29,15,14,Thu,W,27,20,7,,9.5,covered,56.5,under
ARI,@,SEA,2013,2013-12-22,12,22,4:06,16,15,Sun,W,17,10,7,,9,covered,42.5,under
NYG,@,DET,2013,2013-12-22,12,22,4:05,16,15,Sun,W,23,20,3,OT,9,covered,47,under
TEN,@,HOU,2013,2013-09-15,9,15,1:03,2,2,Sun,L,24,30,-6,OT,9,covered,42.5,over
OAK,@,SDG,2013,2013-12-22,12,22,4:25,16,15,Sun,L,13,26,-13,,9,not covered,50,under
STL,@,HOU,2013,2013-10-13,10,13,1:03,6,6,Sun,W,38,13,25,,9,covered,43,over
MIN,@,DAL,2013,2013-11-03,11,3,1:03,9,8,Sun,L,23,27,-4,,8.5,covered,51,under
NYG,@,CHI,2013,2013-10-10,10,10,8:29,6,6,Thu,L,21,27,-6,,8.5,covered,46.5,over
ATL,@,CAR,2013,2013-11-03,11,3,1:03,9,8,Sun,L,10,34,-24,,8,not covered,46.5,under
OAK,@,DAL,2013,2013-11-28,11,28,4:31,13,12,Thu,L,24,31,-7,,8,covered,49.5,over
WAS,@,GNB,2013,2013-09-15,9,15,1:02,2,2,Sun,L,20,38,-18,,8,not covered,48.5,over
ARI,@,NOR,2013,2013-09-22,9,22,1:03,3,3,Sun,L,7,31,-24,,7.5,not covered,48.5,under
JAX,@,CLE,2013,2013-12-01,12,1,1:02,13,12,Sun,W,32,28,4,,7.5,covered,39.5,over
KAN,@,DEN,2013,2013-11-17,11,17,8:30,11,10,Sun,L,17,27,-10,,7.5,not covered,49,under
MIA,@,NOR,2013,2013-09-30,9,30,8:40,4,4,Mon,L,17,38,-21,,7.5,not covered,48.5,over
MIN,@,CIN,2013,2013-12-22,12,22,1:02,16,15,Sun,L,14,42,-28,,7.5,not covered,48,over
OAK,@,KAN,2013,2013-10-13,10,13,1:02,6,6,Sun,L,7,24,-17,,7.5,not covered,41,under
STL,@,SFO,2013,2013-12-01,12,1,4:05,13,12,Sun,L,13,23,-10,,7.5,not covered,40.5,under
BAL,@,DEN,2013,2013-09-05,9,5,9:13,1,1,Thu,L,27,49,-22,,7.5,not covered,48,over
SDG,@,PHI,2013,2013-09-15,9,15,1:02,2,2,Sun,W,33,30,3,,7.5,covered,51,over
TAM,@,NWE,2013,2013-09-22,9,22,1:02,3,3,Sun,L,3,23,-20,,7.5,not covered,44.5,under
BUF,@,NWE,2013,2013-12-29,12,29,4:25,17,16,Sun,L,20,34,-14,,7,not covered,46.5,over
